FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath,FileNameClean,FileType,year,month,UsiaDokumen,Size_MB,SizeCategory,Source_Class,Path_modified,Folder_Root,Subfolder_L2,Filename,Path_Class,Path_Anomali,Subfolder_L3,Subfolder_L4,Subfolder_L5,Subfolder_L6,Path_Uniform
BPJS Form_Fajri_page1_image1,jpg,2024-01-12 14:44:20.000000,366.47,0.0003,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri_page1_image1.jpg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri_page1_image1.jpg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Bpjs Form Fajri Page1 Image1,image,2024,1,menengah,0.357880859375,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/BPJS Form_Fajri_page1_image1.jpg,C:,Users,BPJS Form_Fajri_page1_image1.jpg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
BPJS Form_Fajri_page1_image2,png,2024-01-12 14:44:20.000000,372.3,0.0004,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri_page1_image2.png,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri_page1_image2.png,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Bpjs Form Fajri Page1 Image2,image,2024,1,menengah,0.36357421875,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/BPJS Form_Fajri_page1_image2.png,C:,Users,BPJS Form_Fajri_page1_image2.png,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
buku tabungan fajri (1),jpeg,2024-01-12 13:45:08.000000,129.48,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan fajri (1).jpeg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan fajri (1).jpeg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Buku Tabungan Fajri 1,image,2024,1,menengah,0.1264453125,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/buku tabungan fajri (1).jpeg,C:,Users,buku tabungan fajri (1).jpeg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
buku tabungan fajri (2),jpeg,2024-01-12 13:44:44.000000,52.45,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan fajri (2).jpeg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan fajri (2).jpeg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Buku Tabungan Fajri 2,image,2024,1,menengah,0.051220703125,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/buku tabungan fajri (2).jpeg,C:,Users,buku tabungan fajri (2).jpeg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
buku tabungan mandiri fajri,pdf,2024-08-02 16:22:28.270609,824.24,0.0008,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan mandiri fajri.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\buku tabungan mandiri fajri.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Buku Tabungan Mandiri Fajri,document,2024,8,baru,0.804921875,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/buku tabungan mandiri fajri.pdf,C:,Users,buku tabungan mandiri fajri.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
CarbonEthics Certificate - Fajri Mughni,pdf,2022-08-05 23:20:34.000000,121.61,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\CarbonEthics Certificate - Fajri Mughni.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\CarbonEthics Certificate - Fajri Mughni.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Carbonethics Certificate Fajri Mughni,document,2022,8,menengah,0.118759765625,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/CarbonEthics Certificate - Fajri Mughni.pdf,C:,Users,CarbonEthics Certificate - Fajri Mughni.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
compressed_0_IMG_0501 ts_11zon,jpg,2023-04-14 15:12:34.000000,41.82,0.0,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\compressed_0_IMG_0501 ts_11zon.jpg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\compressed_0_IMG_0501 ts_11zon.jpg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Compressed 0 Img 0501 Ts 11Zon,image,2023,4,menengah,0.04083984375,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/compressed_0_IMG_0501 ts_11zon.jpg,C:,Users,compressed_0_IMG_0501 ts_11zon.jpg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
Fajri Ilham Mughni Results,pdf,2023-10-13 14:34:40.000000,361.21,0.0003,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni Results.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni Results.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Fajri Ilham Mughni Results,document,2023,10,menengah,0.352744140625,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/Fajri Ilham Mughni Results.pdf,C:,Users,Fajri Ilham Mughni Results.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
Fajri Ilham Mughni _ CV,pdf,2023-08-19 07:26:20.000000,120.98,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni _ CV.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni _ CV.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Fajri Ilham Mughni Cv,document,2023,8,menengah,0.11814453125,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/Fajri Ilham Mughni _ CV.pdf,C:,Users,Fajri Ilham Mughni _ CV.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
Fajri Ilham Mughni _ CV_compressed,pdf,2023-08-09 16:24:34.000000,43.77,0.0,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni _ CV_compressed.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Fajri Ilham Mughni _ CV_compressed.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Fajri Ilham Mughni Cv Compressed,document,2023,8,menengah,0.042744140625,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/Fajri Ilham Mughni _ CV_compressed.pdf,C:,Users,Fajri Ilham Mughni _ CV_compressed.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
