FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath
jli,.dll,2024-11-21 19:17:57.609881,97.21,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jli.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jli.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
w2k_lsa_auth,.dll,2024-11-21 19:17:57.321244,40.71,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\w2k_lsa_auth.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\w2k_lsa_auth.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-file-l1-1-0,.dll,2024-11-21 19:17:57.086850,45.64,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-file-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-file-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
ucrtbase,.dll,2024-11-21 19:17:56.909788,1345.64,0.0013,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\ucrtbase.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\ucrtbase.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
jaccessinspector,.exe,2024-11-21 19:17:56.664228,113.21,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jaccessinspector.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jaccessinspector.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
jaccesswalker,.exe,2024-11-21 19:17:56.548023,79.21,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jaccesswalker.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jaccesswalker.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
jsound,.dll,2024-11-21 19:17:56.464531,69.71,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jsound.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\jsound.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
verify,.dll,2024-11-21 19:17:56.374087,65.21,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\verify.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\verify.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
j2pcsc,.dll,2024-11-21 19:17:56.281259,35.71,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\j2pcsc.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\j2pcsc.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-processenvironment-l1-1-0,.dll,2024-11-21 19:17:56.181942,41.73,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processenvironment-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processenvironment-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
